Istanbul,LocalPopulation,14377018
Istanbul,Afghanistan,635
Istanbul,Iran,420
Istanbul,Iraq,5812
Istanbul,Somalia,60
Istanbul,Othernationalities,771
Istanbul,Nonsyriantotal,7698
Istanbul,Syrian,392682
Istanbul,Grand Total,400380
Izmir,LocalPopulation,4113072
Izmir,Afghanistan,87
Izmir,Iran,79
Izmir,Iraq,233
Izmir,Somalia,11
Izmir,Othernationalities,16
Izmir,Nonsyriantotal,426
Izmir,Syrian,91237
Izmir,Grand Total,91663
K.maras,LocalPopulation,1089038
K.maras,Afghanistan,345
K.maras,Iran,40
K.maras,Iraq,53
K.maras,Somalia,0
K.maras,Othernationalities,3
K.maras,Nonsyriantotal,441
K.maras,Syrian,84131
K.maras,Grand Total,84572
Karabuk,LocalPopulation,231333
Karabuk,Afghanistan,1619
Karabuk,Iran,89
Karabuk,Iraq,3572
Karabuk,Somalia,1
Karabuk,Othernationalities,48
Karabuk,Nonsyriantotal,5329
Karabuk,Syrian,271
Karabuk,Grand Total,5600
Karaman,LocalPopulation,240362
Karaman,Afghanistan,5306
Karaman,Iran,252
Karaman,Iraq,1186
Karaman,Somalia,56
Karaman,Othernationalities,317
Karaman,Nonsyriantotal,7117
Karaman,Syrian,471
Karaman,Grand Total,7588
Kars,LocalPopulation,296466
Kars,Afghanistan,588
Kars,Iran,6
Kars,Iraq,9
Kars,Somalia,0
Kars,Othernationalities,4
Kars,Nonsyriantotal,607
Kars,Syrian,123
Kars,Grand Total,730
Kastamonu,LocalPopulation,368907
Kastamonu,Afghanistan,4965
Kastamonu,Iran,585
Kastamonu,Iraq,2782
Kastamonu,Somalia,10
Kastamonu,Othernationalities,305
Kastamonu,Nonsyriantotal,8647
Kastamonu,Syrian,617
Kastamonu,Grand Total,9264
Kayseri,LocalPopulation,1322376
Kayseri,Afghanistan,338
Kayseri,Iran,1852
Kayseri,Iraq,1595
Kayseri,Somalia,5
Kayseri,Othernationalities,69
Kayseri,Nonsyriantotal,3859
Kayseri,Syrian,50428
Kayseri,Grand Total,54287
Kilis,LocalPopulation,128781
Kilis,Afghanistan,0
Kilis,Iran,0
Kilis,Iraq,4
Kilis,Somalia,0
Kilis,Othernationalities,29
Kilis,Nonsyriantotal,33
Kilis,Syrian,125751
Kilis,Grand Total,125784
Kirikkale,LocalPopulation,271092
Kirikkale,Afghanistan,4037
Kirikkale,Iran,1076
Kirikkale,Iraq,3888
Kirikkale,Somalia,7
Kirikkale,Othernationalities,157
Kirikkale,Nonsyriantotal,9165
Kirikkale,Syrian,468
Kirikkale,Grand Total,9633
Kirklareli,LocalPopulation,343723
Kirklareli,Afghanistan,70
Kirklareli,Iran,2
Kirklareli,Iraq,1
Kirklareli,Somalia,0
Kirklareli,Othernationalities,2
Kirklareli,Nonsyriantotal,75
Kirklareli,Syrian,2067
Kirklareli,Grand Total,2142
Kirsehir,LocalPopulation,222707
Kirsehir,Afghanistan,486
Kirsehir,Iran,78
Kirsehir,Iraq,2371
Kirsehir,Somalia,0
Kirsehir,Othernationalities,11
Kirsehir,Nonsyriantotal,2946
Kirsehir,Syrian,573
Kirsehir,Grand Total,3519
Kocaeli,LocalPopulation,1722795
Kocaeli,Afghanistan,1
Kocaeli,Iran,3
Kocaeli,Iraq,7
Kocaeli,Somalia,0
Kocaeli,Othernationalities,5
Kocaeli,Nonsyriantotal,16
Kocaeli,Syrian,23217
Kocaeli,Grand Total,23233
Konya,LocalPopulation,2108808
Konya,Afghanistan,2215
Konya,Iran,67
Konya,Iraq,2213
Konya,Somalia,407
Konya,Othernationalities,416
Konya,Nonsyriantotal,5318
Konya,Syrian,68582
Konya,Grand Total,73900
Kutahya,LocalPopulation,571554
Kutahya,Afghanistan,616
Kutahya,Iran,280
Kutahya,Iraq,4609
Kutahya,Somalia,119
Kutahya,Othernationalities,94
Kutahya,Nonsyriantotal,5718
Kutahya,Syrian,276
Kutahya,Grand Total,5994
Malatya,LocalPopulation,769544
Malatya,Afghanistan,1269
Malatya,Iran,39
Malatya,Iraq,22
Malatya,Somalia,0
Malatya,Othernationalities,8
Malatya,Nonsyriantotal,1338
Malatya,Syrian,18286
Malatya,Grand Total,19624
Manisa,LocalPopulation,1367905
Manisa,Afghanistan,8751
Manisa,Iran,1409
Manisa,Iraq,1373
Manisa,Somalia,0
Manisa,Othernationalities,152
Manisa,Nonsyriantotal,11685
Manisa,Syrian,5637
Manisa,Grand Total,17322
Mardin,LocalPopulation,788996
Mardin,Afghanistan,119
Mardin,Iran,3
Mardin,Iraq,4711
Mardin,Somalia,0
Mardin,Othernationalities,2
Mardin,Nonsyriantotal,4835
Mardin,Syrian,95026
Mardin,Grand Total,99861
Mersin,LocalPopulation,1727255
Mersin,Afghanistan,732
Mersin,Iran,126
Mersin,Iraq,495
Mersin,Somalia,98
Mersin,Othernationalities,737
Mersin,Nonsyriantotal,2188
Mersin,Syrian,138579
Mersin,Grand Total,140767
Mugla,LocalPopulation,894509
Mugla,Afghanistan,0
Mugla,Iran,0
Mugla,Iraq,0
Mugla,Somalia,0
Mugla,Othernationalities,0
Mugla,Nonsyriantotal,0
Mugla,Syrian,8194
Mugla,Grand Total,8194
Mus,LocalPopulation,411216
Mus,Afghanistan,0
Mus,Iran,0
Mus,Iraq,10
Mus,Somalia,0
Mus,Othernationalities,0
Mus,Nonsyriantotal,10
Mus,Syrian,682
Mus,Grand Total,692
Nevsehir,LocalPopulation,286250
Nevsehir,Afghanistan,5880
Nevsehir,Iran,1941
Nevsehir,Iraq,1144
Nevsehir,Somalia,1
Nevsehir,Othernationalities,76
Nevsehir,Nonsyriantotal,9042
Nevsehir,Syrian,5185
Nevsehir,Grand Total,14227
Nigde,LocalPopulation,343898
Nigde,Afghanistan,899
Nigde,Iran,1091
Nigde,Iraq,2167
Nigde,Somalia,34
Nigde,Othernationalities,167
Nigde,Nonsyriantotal,4358
Nigde,Syrian,2667
Nigde,Grand Total,7025
Ordu,LocalPopulation,724268
Ordu,Afghanistan,153
Ordu,Iran,74
Ordu,Iraq,3435
Ordu,Somalia,1
Ordu,Othernationalities,59
Ordu,Nonsyriantotal,3722
Ordu,Syrian,595
Ordu,Grand Total,4317
Osmaniye,LocalPopulation,506807
Osmaniye,Afghanistan,0
Osmaniye,Iran,0
Osmaniye,Iraq,0
Osmaniye,Somalia,0
Osmaniye,Othernationalities,12
Osmaniye,Nonsyriantotal,12
Osmaniye,Syrian,40140
Osmaniye,Grand Total,40152
Rize,LocalPopulation,329779
Rize,Afghanistan,0
Rize,Iran,0
Rize,Iraq,0
Rize,Somalia,0
Rize,Othernationalities,0
Rize,Nonsyriantotal,0
Rize,Syrian,541
Rize,Grand Total,541
Sakarya,LocalPopulation,932706
Sakarya,Afghanistan,1699
Sakarya,Iran,413
Sakarya,Iraq,4301
Sakarya,Somalia,1
Sakarya,Othernationalities,135
Sakarya,Nonsyriantotal,6549
Sakarya,Syrian,5867
Sakarya,Grand Total,12416
Samsun,LocalPopulation,1269989
Samsun,Afghanistan,1458
Samsun,Iran,58
Samsun,Iraq,7309
Samsun,Somalia,1
Samsun,Othernationalities,31
Samsun,Nonsyriantotal,8857
Samsun,Syrian,3314
Samsun,Grand Total,12171
